course_EFTSL,course_EFTSL_url,course_campus,course_career,course_code,course_credit,course_description,course_faculty,course_faculty_url,course_fee,course_fee_url,course_further_info,course_further_info_url,course_hours,course_outline,course_outline_url,course_school,course_school_url,course_title,course_url
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5906,6,"Making sound business decisions depends on the evaluation and analysis of information. Given the frequent expression of information in monetary terms, financial literacy is a key element in creating value or identifying value opportunities.  This course introduces accounting as the language of business and as a tool to be used by managers within the organisation and by external parties including shareholders and creditors.,The core aspects of management accounting and financial accounting are integrated and applied to significant issues as students will encounter them in business. Topics include the development of an appropriate business plan for the entity; costing and pricing; performance measurement; and the construction and use of published financial statements.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5906.html,3,ACCT5906 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Financial Literacy for Business Decisions,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5906.html
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5997,6,"Enrolment requires School Approval.,This course considers the relationship between science and scientific method; provides an introduction to the interpretation of the key statistical techniques used in accounting research; and considers and reviews some of the principle research methods that have been used to address issues in accounting.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5997.html,3,ACCT5997 Course outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Seminar in Research Methodology,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5997.html
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5951,6,"Enrolment requires School Approval.,Review of alternative approaches to the development of theories in external reporting. Explication and evaluation of substantive theories and associated research studies. Examination of research findings related to the accounting and reporting environment, agency cost and financial contracting, the properties of reported accounting numbers, predictive value of accounting information, the use of information in capital markets, and the use of accounting reports by individual decision makers.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5951.html,3,ACCT5951 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Current Developments in Accounting Research - Financial,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5951.html
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5949,6,"There has been much change and innovation in the structure and form of organisations in the new millennium.  There is now a large array of organisational forms - from simple hierarchies to complex organisational sets and alliances. Given this diversity, managers need an innovative repertoire of managerial skills and competencies.,This course has three aims: (a) to briefly identify the new and innovative ways that productive relationships have been structured at the intra-organisational and inter-organisational levels;  (b) to investigate the challenges these pose for the concept of 'managerial work', and (c) to develop the managerial competencies required to manage dynamic 'agile' organisations. Topics covered include: the postindustrial age, managerial work, managing discourse, power, normative rule structures, teams, ambiguity and change. Group discussion is emphasised in this course.  There is also a focus on the use of case studies.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5949.html,3,ACCT5949Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Managing Agile Organisations,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5949.html
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5996,6,"This course examines the use of financial and non-financial information for the purpose of analysing business processes to achieve superior organisational performance.  The course introduces a number of management accounting tools and quantitative techniques that can be used to analyse how business processes consume resources, create value for a firm and its customers, and how this value may be enhanced through business process improvement.  The course draws on textbook explanations and research-based insights of contemporary business practice in this area., Not available to students who have completed ACCT2522 in the last three years.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5996.html,3,ACCT5996 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Management Accounting and Business Analysis ,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5996.html
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5955,6,"This course examines the design, implementation and uses of Management Control Systems (MCS) within contemporary organisations. There is a consideration of how designs of MCS are changing given globalisation and increasingly blurred organisational boundaries. The content is less technically oriented than a typical management accounting course and provides a broader strategic perspective of management control issues from the viewpoint of the CFO (Chief Financial Officer) and the senior executive team. The course is designed to be highly interactive. It encourages the application of reading materials to cases and reflections on the effectiveness of different MCS on performance in various organisational settings.,Issues considered include: the components of a MCS; MCS design and relationships with strategy; factors influencing the suitability/fit of control systems in different industry settings; uses of MCS to influence performance outcomes; MCS in different cultural and international settings; the product life cycle and MCS; and how MCS undergo change in established and newer organisations.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5955.html,3,ACCT5955 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Management Control Systems in Contemporary Contex ,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5955.html
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5943,6," Not available to students who have completed ACCT3563 or ACCT3573 in the last three years.,The analysis of contemporary accounting issues within theoretical frameworks such as agency theory and the context of the conceptual frameworks used in setting accounting standards. Reporting problems in particular industries and with particular types of assets and liabilities (such as complex financial instruments); cutting edge accounting issues and the deliberations of local and overseas accounting rule-making bodies; and proposals for the strengthening of external financial reporting.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5943.html,3,ACCT5943 Course Outline,https://www.business.unsw.edu.au/programs-courses/course-outlines,School of Accounting,http://www.accounting.unsw.edu.au/,Advanced Financial Reporting,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5943.html
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5961,6,"Climate change and sustainability are key challenges for our society and economy today. Governments and non-governmental organisations around the world have engaged in various climate change and adaptation policy initiatives to ensure survival and prosperity of current and future generations. ,This course explores issues related to climate change and sustainability and the implications for industry sectors and businesses. Established and proposed policy frameworks are surveyed and evaluated to highlight the significance of transparency and accountability in reporting economic, environmental, and social performance. The current state and trends in accounting, assurance and reporting for carbon emissions in a regulated and voluntary setting will be covered. Risk mitigation and management accounting strategies to respond to consequences of a carbon-constrained economy are also evaluated.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5961.html,3,ACCT5961 Course Outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Reporting for Climate Change and Sustainability ,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5961.html
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5942,6," Not available to students who have completed ACCT2542 in the last three years.,Overview of the external financial reporting environment - Australian and international aspects; arrangements for the regulation of external reporting; the preparation of general purpose financial reports including the treatment of income taxes and the acquisition of other entities. The preparation of consolidated financial statements for reporting entities with more complex structures including subsidiaries, associates and joint ventures.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5942.html,3,ACCT5942 Course Outline,https://www.business.unsw.edu.au/programs-courses/course-outlines,School of Accounting,http://www.accounting.unsw.edu.au/,Corporate Accounting and Regulation,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5942.html
(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Postgraduate,ACCT5952,6,"Enrolment requires School Approval.,The aim of this course is to equip students with a comprehensive understanding of contemporary management accounting research, which emanates from different philosophical perspectives and employs different theories and research methods. Research is divided into two broad streams: work that seeks (a) to  explain and design , and (b) to  understand and interpret  the practice of management accounting in organisational societies. Topics covered include  design  approaches using behavioural decision theory, contingency theory, institutional theory, and others and interpretive approaches using symbolic interactionism and theories of culture. There is also brief coverage of national differences in management accounting practice and of critical analyses of the development and operation of management accounting systems.",UNSW Business School,/faculties/2018/comm/comm.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/ACCT5952.html,3,ACCT5952 Course outline,http://www.business.unsw.edu.au/courseoutlines,School of Accounting,http://www.accounting.unsw.edu.au/,Current Developments in Accounting Research - Managerial,http://www.handbook.unsw.edu.au/postgraduate/courses/2018/ACCT5952.html
